,open,high,low,close,volume
20170428,25891,25990,25855,25882,13370588
20170427,25760,25846,25729,25828,5780449
20170426,25712,25831,25699,25778,3434599
20170425,25389,25645,25375,25623,3716147
20170424,25340,25406,25291,25366,6568055
20170421,25127,25273,25096,25234,4927693
20170420,24853,25025,24822,25025,4886132
20170419,24994,25043,24839,24919,4929178
20170418,25163,25176,24959,25030,4204306
20170417,25025,25132,24986,25043,4297744
20170414,25021,25039,24835,24990,5642072
20170413,24906,25101,24848,25101,5074399
20170412,24857,24875,24795,24866,5092774
20170411,24906,24968,24769,24853,7108230
20170410,25101,25101,24901,24955,6330436
20170407,25194,25194,25003,25101,7041765
20170406,25172,25172,25034,25145,7469018
20170405,25291,25309,25083,25242,5805001
20170404,25313,25353,25234,25287,2679617
20170403,25344,25428,25291,25340,2589206
20170331,25358,25380,25269,25278,4787965
20170330,25375,25464,25278,25327,4445553
20170329,25371,25389,25273,25349,6184412
20170328,25313,25344,25225,25265,4924385
20170327,25251,25331,25172,25207,9292506
20170324,25428,25504,25304,25366,3056763
20170323,25455,25513,25375,25406,4950915
20170322,25282,25366,25238,25366,8693573
20170321,25300,25530,25251,25451,4956117
20170320,25234,25234,25127,25207,5282277
20170317,25145,25278,25110,25238,4000898
20170316,25225,25273,25083,25127,6534445
20170315,24906,24972,24870,24946,6930002
20170314,24782,24932,24773,24915,11000446
20170313,24463,24764,24454,24689,5841074
20170310,24312,24494,24246,24414,3982277
20170309,24454,24490,24366,24397,6120800
20170308,24374,24498,24330,24445,4022564
20170307,24295,24441,24250,24401,6233139
20170306,24144,24286,24104,24255,5872335
20170303,24361,24379,24157,24228,9527684
20170302,24405,24538,24357,24463,5028332
20170228,24219,24286,24188,24237,3514521
20170227,24295,24326,24149,24193,5292021
20170224,24467,24498,24250,24304,7318969
20170223,24472,24503,24436,24490,3492131
20170222,24463,24516,24436,24481,7671236
20170221,24242,24538,24219,24432,7441782
20170220,24175,24215,24118,24211,2490989
20170217,24056,24166,24056,24131,3194882
20170216,24188,24259,24104,24131,2873585
20170215,24056,24188,24011,24144,3493417
20170214,24206,24206,24011,24069,4547895
20170213,24122,24153,24087,24135,4051034
20170210,24202,24237,24118,24122,3102392
20170209,24073,24149,24007,24078,4549417
20170208,24091,24095,23887,24042,8525819
20170207,24237,24237,24109,24157,3934496
20170206,24326,24357,24140,24180,3836923
20170203,24162,24188,24016,24122,4876808
20170202,24193,24335,24069,24104,3860518
20170201,24175,24219,24153,24197,6628700
20170131,24184,24219,24109,24126,3677124
20170126,24153,24321,24087,24259,3143818
20170125,24131,24144,23980,24064,2655497
20170124,23985,24087,23927,23976,3451889
20170123,23963,24051,23834,23971,3716022
20170120,23949,24016,23927,23994,2185608
20170119,24113,24250,23909,24029,4283847
20170118,24029,24082,23839,24016,4408866
20170117,23963,24113,23963,24029,7170336
20170116,24056,24109,23870,23936,7936047
20170113,24091,24126,24064,24069,2087487
20170112,24100,24175,24069,24131,4099962
20170111,23675,24144,23675,24069,4083800
20170110,23599,23679,23591,23644,5911497
20170109,23648,23710,23626,23675,3413359
20170106,23568,23661,23564,23617,3660365
20170105,23582,23604,23506,23515,7767574
20170104,23573,23617,23560,23608,5137885
20170103,23458,23582,23427,23582,4322949
20170102,23312,23458,23232,23396,2007093
20161229,23276,23325,23241,23316,7068923
20161228,23254,23365,23254,23303,11498641
20161227,23179,23241,23179,23227,2820907
20161226,23174,23201,23143,23192,3278616
20161223,23174,23183,23126,23148,5991981
20161222,23210,23236,23161,23179,3770745
20161221,23263,23347,23192,23192,4550930
20161220,23192,23254,23179,23223,3360202
20161219,23086,23214,23086,23170,3742513
20161216,23086,23179,23059,23152,5291143
20161215,22940,23148,22931,23095,4437647
20161214,23170,23236,23072,23103,5746616
20161213,23028,23099,23010,23081,5923100
20161212,23143,23143,22975,23037,6774176
20161209,23050,23086,23002,23068,9836113
20161208,22860,23055,22860,23055,12813080
20161207,22669,22705,22621,22669,9800986
20161206,22497,22652,22497,22607,5792339
20161205,22346,22382,22262,22337,7195356
20161202,22426,22470,22324,22364,4854337
20161201,22528,22568,22470,22523,5875929
20161130,22399,22554,22390,22506,4167831
20161129,22386,22435,22342,22395,6609397
20161128,22328,22421,22191,22386,3707149
20161125,22355,22377,22284,22320,2987828
20161124,22395,22439,22253,22311,5719223
20161123,22342,22514,22320,22426,5698289
20161122,22178,22368,22165,22342,2935539
20161121,22081,22169,22045,22089,2970991
20161118,22191,22196,22041,22134,3483630
20161117,22081,22173,21992,22143,3473491
20161116,22191,22240,22134,22156,3968140
20161115,22125,22200,22067,22076,4558712
20161114,22293,22333,22125,22156,5742702
20161111,22413,22439,22280,22333,7104727
20161110,22417,22572,22373,22559,20006259
20161109,22647,22731,21819,22120,21755915
20161108,22638,22638,22461,22585,4816773
20161107,22576,22585,22461,22537,4219413
20161104,22342,22399,22289,22320,6245999
20161103,22306,22421,22253,22399,9499723
20161102,22452,22497,22324,22324,8276596
20161101,22603,22634,22399,22621,5081326
20161031,22568,22669,22519,22612,3468802
20161028,22625,22727,22607,22656,3503440
20161027,22621,22687,22576,22643,7168628
20161026,22723,22723,22444,22541,8446517
20161025,22833,22869,22780,22820,3120779
20161024,22785,22882,22771,22855,2723882
20161021,22776,22820,22674,22683,2527539
20161020,22802,22891,22776,22793,3113567
20161019,22718,22895,22696,22771,3276471
20161018,22621,22762,22599,22745,3540420
20161017,22581,22669,22399,22590,4423857
20161014,22492,22612,22488,22554,4580037
20161013,22603,22634,22404,22439,6370099
20161012,22528,22687,22514,22638,7598168
20161011,22931,23006,22638,22656,5679746
20161010,22873,23010,22771,22975,2424502
20161007,22988,23041,22931,22940,4535613
20161006,23024,23055,22913,23010,2682552
20161005,22705,22904,22647,22851,2762777
20161004,22864,22931,22820,22864,2684894
20160930,22842,22869,22718,22731,3784503
20160929,22917,23046,22913,22979,4663987
20160928,22860,22882,22793,22820,1582523
20160927,22652,22931,22541,22886,3845477
20160926,22802,22900,22696,22731,3604199
20160923,22886,22886,22771,22807,5822236
20160922,22785,22913,22771,22824,4278539
20160921,22452,22625,22444,22625,2890269
20160920,22355,22488,22337,22475,4218653
20160919,22222,22452,22196,22439,3325281
20160913,22408,22408,22209,22209,9052177
20160912,22333,22413,22129,22129,10225246
20160909,22820,22838,22643,22700,5924578
20160908,23033,23081,22922,22971,5925617
20160907,23024,23143,22975,22975,5504753
20160906,22922,23024,22922,23019,6300873
20160905,22776,22940,22758,22935,6001905
20160902,22607,22647,22563,22647,3715357
20160901,22545,22603,22430,22603,4601113
20160831,22745,22749,22612,22661,2900075
20160830,22723,22864,22714,22745,4949157
20160829,22501,22674,22470,22652,2502780
20160826,22661,22669,22537,22647,2801245
20160825,22687,22771,22612,22736,3858682
20160824,22793,22811,22661,22696,3719282
20160823,22700,22802,22700,22802,2194296
20160822,22780,22802,22669,22683,3254975
20160819,22789,22824,22731,22816,4073896
20160818,22612,22771,22581,22762,4076285
20160817,22585,22638,22501,22599,3386840
20160816,22705,22771,22616,22616,3675045
20160812,22621,22767,22590,22630,4083134
20160811,22523,22554,22452,22550,5419792
20160810,22563,22630,22523,22523,10238366
20160809,22470,22634,22435,22599,9598178
20160808,22408,22470,22306,22426,8414971
20160805,22072,22271,22058,22258,4542047
20160804,22098,22103,21961,22019,3237396
20160803,22098,22116,21957,21970,4451902
20160802,22364,22373,22240,22253,3425302
20160801,22320,22439,22320,22426,5842459
20160729,22258,22390,22213,22244,3246817
20160728,22320,22364,22204,22262,3658173
20160727,22318,22376,22305,22310,3657481
20160726,22106,22336,22079,22323,2903412
20160725,22172,22221,22079,22128,3466734
20160722,22035,22150,21978,22115,1861263
20160721,22194,22208,22079,22128,1869922
20160720,22137,22137,21991,22106,4468811
20160719,22208,22208,22088,22146,3994955
20160718,22146,22225,22133,22177,5334888
20160715,22128,22225,22062,22137,9175518
20160714,21969,22071,21947,22026,8274526
20160713,22009,22093,21898,21986,12272076
20160712,21871,21964,21778,21840,8184986
20160711,21725,21889,21725,21840,6559451
20160708,21579,21685,21464,21522,4217320
20160707,21500,21672,21442,21632,9405382
20160706,21739,21739,21291,21389,12472598
20160705,21827,21867,21761,21827,5280058
20160704,21778,21889,21743,21854,5822654
20160701,21619,21845,21606,21778,8514754
20160630,21557,21601,21438,21601,6448865
20160629,21300,21553,21252,21446,7259290
20160628,20937,21260,20920,21194,13975810
20160627,21035,21150,20964,21141,17487117
20160624,21867,21924,20782,21083,22168027
20160623,21765,21814,21725,21783,6067063
20160622,21659,21827,21601,21770,3855336
20160621,21628,21668,21544,21646,4483719
20160620,21548,21681,21535,21646,3888344
20160617,21455,21553,21336,21349,7995505
20160616,21486,21522,21243,21314,6742351
20160615,21446,21561,21389,21477,4548671
20160614,21522,21584,21420,21486,5181677
20160613,21854,21867,21557,21557,7710645
20160610,22088,22093,22013,22013,8387189
20160609,22097,22230,21995,22102,10943983
